Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
Shanghai Red,2006,Not Rated,29 Apr 2007,104 min,Drama,Oscar L. Costo,Oscar L. Costo,"Vivian Wu, Richard Burgi, Honglei Sun",A murder mystery set in contemporary Shanghai about a beautiful woman caught in a web of vengeance and deceit.,"English, Mandarin","United States, China",https://m.media-amazon.com/images/M/MV5BMTUwMzExNzAyMV5BMl5BanBnXkFtZTcwMjczMTcxOA@@._V1_SX300.jpg,,,,,
House of the Sleeping Beauties,2006,Not Rated,14 Nov 2008,99 min,"Drama, Thriller",Vadim Glowna,"Vadim Glowna, Yasunari Kawabata","Vadim Glowna, Angela Winkler, Maximilian Schell","Still mourning the loss of his beloved wife and daughter in a horrendous car accident, a reclusive sexagenarian decides to visit a rather peculiar and secretive brothel.",German,Germany,https://m.media-amazon.com/images/M/MV5BNTVjNzdlNTEtZDQxNi00MWYxLTlmN2MtYzdhNzc3MTQ2OWY1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,,,,,
Sixty Six,2006,PG-13,03 Nov 2006,93 min,"Biography, Comedy, Drama",Paul Weiland,"Peter Straughan, Bridget O'Connor, Paul Weiland","Charlie Clark, Nick Shirm, Thomas Drewson",A boy's barmitzvah looks set to be a disaster when it coincides with the 1966 World Cup Final.,English,"France, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTAyNDY1ODk5OTleQTJeQWpwZ15BbWU3MDYwMjk3NzE@._V1_SX300.jpg,,,,,
Save Me,2018–2022,TV-MA,01 Jan 2018,270 min,"Drama, Mystery",N/A,Lennie James,"Lennie James, Stephen Graham, Suranne Jones","Nelly hasn't rested trying to find his missing daughter Jody, he won't give up, and he will do anything to find out what happened. Discovering things about him and those around him, things he never imagined.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BNzljODAwZTAtMjcxYi00MDIyLWIwNjMtNWE4ZDg3MDZiMTg1XkEyXkFqcGdeQXVyMTI5OTk3NDY5._V1_SX300.jpg,3,,,,
I Can't Think Straight,2008,PG-13,01 Nov 2008,82 min,"Drama, Romance",Shamim Sarif,"Shamim Sarif, Kelly Moss","Lisa Ray, Sheetal Sheth, Antonia Frering",A young woman engaged to be married finds her life changed forever when she meets her best friend's girlfriend.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BODU4Njg3OTkwOF5BMl5BanBnXkFtZTcwMjg5NzAwMg@@._V1_SX300.jpg,,,,,
How to Be a Serial Killer,2008,R,15 Nov 2008,91 min,"Comedy, Crime, Horror",Luke Ricci,Luke Ricci,"Dameon Clarke, Matthew Gray Gubler, Laura Regan",A serial killer decides to teach the secrets of his satisfying career to a video store clerk.,English,United States,https://m.media-amazon.com/images/M/MV5BMTY4NjY1MTI1OV5BMl5BanBnXkFtZTcwNDEzOTA4MQ@@._V1_SX300.jpg,,,,,
Teeth,2007,R,03 Apr 2008,94 min,"Comedy, Fantasy, Horror",Mitchell Lichtenstein,Mitchell Lichtenstein,"Jess Weixler, John Hensley, Josh Pais","Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence.",English,United States,https://m.media-amazon.com/images/M/MV5BZjVjMjY4MzMtYzljNi00NDQ5LTk3NTYtNzY5NzYyY2FjZTZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Kings of the Evening,2008,PG,31 Jan 2008,99 min,Drama,Andrew P. Jones,"Andrew P. Jones, Robert Page Jones","Tyson Beckford, Lynn Whitfield, Glynn Turman","Homer Hobbs, home after two years in jail, discovers that life on the outside can be crueler than the back-breaking injustice of the chain gang. He returns to a bleak urban town caught in the depths of the Great Depression - no jo...",English,United States,https://m.media-amazon.com/images/M/MV5BMjA3OTM1MTczN15BMl5BanBnXkFtZTcwMDY5MjQ5Mw@@._V1_SX300.jpg,,,,,
Yiddish Theater: A Love Story,2005,N/A,24 Jul 2006,90 min,"Documentary, History",Dan Katzir,"Dan Katzir, Ravit Markus","Julie Alexander, Mike Burstyn, Felix Fibich",The battle to keep Yiddish Theater alive into the 21st century continues.,"English, Yiddish",United States,https://m.media-amazon.com/images/M/MV5BYjRhYTlkZDEtMzIwMS00Mzk2LWE0OTItN2U0ZmM3YzY1MTgzXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,,,,,
12 in a Box,2007,N/A,25 Mar 2013,96 min,Comedy,John McKenzie,"John McKenzie, Bruce Windwood","Ed Bennett, David Burrows-Sutcliffe, Robert Cargill","At a school reunion dinner in a remote country mansion, a dozen people are offered the chance to collect a million pounds each if they can stay on the estate, cut off from the outside world, for 96 hours. With deaths, sexual intri...",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BOTc5ODg3NDYzOV5BMl5BanBnXkFtZTcwMDIyODkwOQ@@._V1_SX300.jpg,,,,,
"Patrik, Age 1.5",2008,Unrated,12 Sep 2008,103 min,"Comedy, Drama, Romance",Ella Lemhagen,"Michael Druker, Ella Lemhagen","Gustaf Skarsgård, Torkel Petersson, Tom Ljungman","A Swedish gay couple adopt what they think is an 18-month-old orphan, only to meet their new son, a 15-year-old homophobic delinquent.",Swedish,Sweden,https://m.media-amazon.com/images/M/MV5BMTg1OTc2MTAyMl5BMl5BanBnXkFtZTcwNzQzMDUxMw@@._V1_SX300.jpg,,,,,
El tinte de La Fama,2008,N/A,01 Feb 2008,85 min,Drama,Alejandro Bellame Palacios,"Armando Coll, Alberto Gómez, Alejandro Bellame Palacios","Alberto Alifa, Mirtha Borges, Miguel Ferrari","Magaly enters a TV contest looking for Marilyn Monroe look-alikes, pressured by her husband and a money prize of $25,000 to help them overcome their precarious financial situation. In the process of becoming Marilyn Monroe, Magaly...",Spanish,Venezuela,https://m.media-amazon.com/images/M/MV5BMTAyOTA1MzYzMzleQTJeQWpwZ15BbWU3MDM2Mjc3OTE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
,,,,,,,,,,,,,,Movie not found!,,,
The Objective,2008,Not Rated,24 Apr 2008,90 min,"Horror, Sci-Fi, Thriller",Daniel Myrick,"Daniel Myrick, Mark A. Patton, Wesley Clark","Jonas Ball, Matthew R. Anderson, Jon Huertas","A military special operations team, led by a CIA case officer, are on a mission in the harsh and hostile terrain of Afghanistan where they find themselves in a Middle Eastern ""Bermuda Triangle"" of ancient evil.","English, Pashtu","United States, Morocco",https://m.media-amazon.com/images/M/MV5BMTM3OTkwNDg0Ml5BMl5BanBnXkFtZTcwMDE2MjkyMg@@._V1_SX300.jpg,,,,,
Dog Eat Dog,2016,Not Rated,11 Nov 2016,93 min,"Action, Crime, Thriller",Paul Schrader,"Edward Bunker, Matthew Wilder","Nicolas Cage, Willem Dafoe, Christopher Matthew Cook",A crew of ex-cons are hired by a Cleveland mafioso to kidnap the baby of a rival mobster.,English,United States,https://m.media-amazon.com/images/M/MV5BMTc0ODExNjM4NV5BMl5BanBnXkFtZTgwNzY4ODYxMDI@._V1_SX300.jpg,,,,,
The Dark Knight,2008,PG-13,18 Jul 2008,152 min,"Action, Crime, Drama",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Heath Ledger, Aaron Eckhart","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","English, Mandarin","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,,,,,
Iron Man,2008,PG-13,02 May 2008,126 min,"Action, Adventure, Sci-Fi",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","United States, Canada",https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Hancock,2008,PG-13,02 Jul 2008,92 min,"Action, Drama, Fantasy",Peter Berg,"Vy Vincent Ngo, Vince Gilligan","Will Smith, Charlize Theron, Jason Bateman",Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,"English, Japanese, Vietnamese",United States,https://m.media-amazon.com/images/M/MV5BMTgyMzc4ODU3NV5BMl5BanBnXkFtZTcwNjk5Mzc1MQ@@._V1_SX300.jpg,,,,,
WALL·E,2008,G,27 Jun 2008,98 min,"Animation, Adventure, Family",Andrew Stanton,"Andrew Stanton, Pete Docter, Jim Reardon","Ben Burtt, Elissa Knight, Jeff Garlin","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","English, Hindi",United States,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,,,,,
Kung Fu Panda,2008,PG,06 Jun 2008,92 min,"Animation, Action, Adventure","Mark Osborne, John Stevenson","Jonathan Aibel, Glenn Berger, Ethan Reiff","Jack Black, Ian McShane, Angelina Jolie","To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",English,United States,https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Madagascar: Escape 2 Africa,2008,PG,07 Nov 2008,89 min,"Animation, Adventure, Comedy","Eric Darnell, Tom McGrath","Etan Cohen, Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer","The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.","English, Italian",United States,https://m.media-amazon.com/images/M/MV5BNTE2YzljYzAtMzRlMi00ZmY1LThiMTMtZGQ3OTI3MTNmOWI2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,,,,,
Twilight,2008,PG-13,21 Nov 2008,122 min,"Drama, Fantasy, Romance",Catherine Hardwicke,"Melissa Rosenberg, Stephenie Meyer","Kristen Stewart, Robert Pattinson, Billy Burke","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",English,United States,https://m.media-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SX300.jpg,,,,,
Quantum of Solace,2008,PG-13,14 Nov 2008,106 min,"Action, Adventure, Thriller",Marc Forster,"Paul Haggis, Neal Purvis, Robert Wade","Daniel Craig, Olga Kurylenko, Mathieu Amalric",James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,"English, Spanish, Italian, French, Swiss German, German","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMzhjYzlmYjQtYmU0Yy00NjNkLWFmOTQtZjQxZWU4NjY1Y2M4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
Horton Hears a Who!,2008,G,14 Mar 2008,86 min,"Animation, Adventure, Comedy","Jimmy Hayward, Steve Martino","Cinco Paul, Ken Daurio, Dr. Seuss","Jim Carrey, Steve Carell, Carol Burnett",Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,English,United States,https://m.media-amazon.com/images/M/MV5BYzk5YzhjODYtZDc3Mi00OTYyLWIyYzAtMzZjYTljYTYzODM1XkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_SX300.jpg,,,,,
Sex and the City,1998–2004,TV-MA,06 Jun 1998,31S min,"Comedy, Drama, Romance",N/A,Darren Star,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis",Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.,English,United States,https://m.media-amazon.com/images/M/MV5BNGEyNDRjM2QtY2VlYy00OWRhLWI4N2UtZTM4NDc0MGM0YzBkXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,6,,,,
Mamma Mia!,2008,PG-13,18 Jul 2008,108 min,"Comedy, Musical, Romance",Phyllida Lloyd,Catherine Johnson,"Meryl Streep, Pierce Brosnan, Amanda Seyfried",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,"English, Greek","United States, United Kingdom, Germany",https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
The Incredible Hulk,2008,PG-13,13 Jun 2008,112 min,"Action, Adventure, Sci-Fi",Louis Leterrier,"Zak Penn, Stan Lee, Jack Kirby","Edward Norton, Liv Tyler, Tim Roth","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","English, Portuguese, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_SX300.jpg,,,,,
Wanted,2008,R,27 Jun 2008,110 min,"Action, Crime, Thriller",Timur Bekmambetov,"Michael Brandt, Derek Haas, Chris Morgan","Angelina Jolie, James McAvoy, Morgan Freeman","A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",English,"United States, Germany",https://m.media-amazon.com/images/M/MV5BMTQwNDM2MTMwMl5BMl5BanBnXkFtZTgwMjE4NjQxMTE@._V1_SX300.jpg,,,,,
Get Smart,2008,PG-13,20 Jun 2008,110 min,"Action, Adventure, Comedy",Peter Segal,"Tom J. Astle, Matt Ember, Mel Brooks","Steve Carell, Anne Hathaway, Alan Arkin","Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.","English, Russian, Punjabi, Arabic",United States,https://m.media-amazon.com/images/M/MV5BMTY0NzQ4MDU0NV5BMl5BanBnXkFtZTcwMzA2NzQ2MQ@@._V1_SX300.jpg,,,,,
Four Christmases,2008,PG-13,26 Nov 2008,88 min,"Comedy, Drama, Romance",Seth Gordon,"Matt Allen, Caleb Wilson, Jon Lucas","Reese Witherspoon, Vince Vaughn, Mary Steenburgen",A couple struggles to visit all four of their divorced parents on Christmas.,English,"Germany, United States",https://m.media-amazon.com/images/M/MV5BMTQ2MjA0NDAwNF5BMl5BanBnXkFtZTcwOTU4MTM5MQ@@._V1_SX300.jpg,,,,,
Juno,2007,PG-13,25 Dec 2007,96 min,"Comedy, Drama",Jason Reitman,Diablo Cody,"Elliot Page, Michael Cera, Jennifer Garner","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTIwMDgwODc5Nl5BMl5BanBnXkFtZTYwMjQzMDM4._V1_SX300.jpg,,,,,
Tropic Thunder,2008,R,13 Aug 2008,107 min,"Action, Comedy, War",Ben Stiller,"Justin Theroux, Ben Stiller, Etan Cohen","Ben Stiller, Jack Black, Robert Downey Jr.","Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","English, Mandarin","United States, United Kingdom, Germany",https://m.media-amazon.com/images/M/MV5BNDE5NjQzMDkzOF5BMl5BanBnXkFtZTcwODI3ODI3MQ@@._V1_SX300.jpg,,,,,
Bolt,2008,PG,21 Nov 2008,96 min,"Animation, Adventure, Comedy","Byron Howard, Chris Williams","Dan Fogelman, Chris Williams","John Travolta, Miley Cyrus, Susie Essman",The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,English,United States,https://m.media-amazon.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_SX300.jpg,,,,,
Marley,2012,PG-13,20 Apr 2012,144 min,"Documentary, Biography, Music",Kevin Macdonald,N/A,"Bob Marley, Ziggy Marley, Rita Marley","A documentary on the life, music, and legacy of Bob Marley.","English, French, German",N/A,https://m.media-amazon.com/images/M/MV5BMTg3NDUzMzQ2OF5BMl5BanBnXkFtZTcwNzY4NTE0Nw@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
,,,,,,,,,,,,,,Movie not found!,,,
Eagle Eye,2008,PG-13,26 Sep 2008,118 min,"Action, Mystery, Thriller",D.J. Caruso,"John Glenn, Travis Wright, Hillary Seitz","Shia LaBeouf, Michelle Monaghan, Rosario Dawson","Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, us...",English,"Germany, United States",https://m.media-amazon.com/images/M/MV5BMjA5MTMzMDMzNl5BMl5BanBnXkFtZTcwMzUwNDUzMw@@._V1_SX300.jpg,,,,,
Step Brothers,2008,R,25 Jul 2008,98 min,Comedy,Adam McKay,"Will Ferrell, Adam McKay, John C. Reilly","Will Ferrell, John C. Reilly, Mary Steenburgen",Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BODViZDg3ZjYtMzhiYS00YTVkLTk4MzktYWUxMTlkYjc1NjdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,,,,
You Don't Mess with the Zohan,2008,PG-13,06 Jun 2008,113 min,"Action, Comedy",Dennis Dugan,"Adam Sandler, Robert Smigel, Judd Apatow","Adam Sandler, John Turturro, Emmanuelle Chriqui",An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,"English, Hebrew",United States,https://m.media-amazon.com/images/M/MV5BMzE2MzEzNDc5M15BMl5BanBnXkFtZTcwMzYxOTA3MQ@@._V1_SX300.jpg,,,,,
"10,000 BC",2008,PG-13,07 Mar 2008,109 min,"Action, Adventure, Drama",Roland Emmerich,"Roland Emmerich, Harald Kloser","Camilla Belle, Steven Strait, Marco Khan","In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",English,"United States, South Africa",https://m.media-amazon.com/images/M/MV5BMzc2NDMzNDY4Ml5BMl5BanBnXkFtZTYwNzM2Njk3._V1_SX300.jpg,,,,,
Beverly Hills Chihuahua,2008,PG,03 Oct 2008,91 min,"Adventure, Comedy, Drama",Raja Gosnell,"Analisa LaBianco, Jeffrey Bushell","Drew Barrymore, George Lopez, Piper Perabo","While on vacation in Mexico, Chloe, a ritzy Beverly Hills chihuahua, finds herself lost and in need of assistance in order to get back home.",English,"United States, Mexico",https://m.media-amazon.com/images/M/MV5BMTI2NzUxNjEzMl5BMl5BanBnXkFtZTcwOTMyNjM4MQ@@._V1_SX300.jpg,,,,,
The Bucket List,2007,PG-13,11 Jan 2008,97 min,"Adventure, Comedy, Drama",Rob Reiner,Justin Zackham,"Jack Nicholson, Morgan Freeman, Sean Hayes",Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,English,United States,https://m.media-amazon.com/images/M/MV5BMTY2NTUyMjIyNF5BMl5BanBnXkFtZTYwNzYwMDM4._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
,,,,,,,,,,,,,,Movie not found!,,,
Bedtime Stories,2008,PG,25 Dec 2008,99 min,"Adventure, Comedy, Family",Adam Shankman,"Matt Lopez, Tim Herlihy","Adam Sandler, Keri Russell, Courteney Cox",A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.,English,United States,https://m.media-amazon.com/images/M/MV5BMjA5Njk5MTUxNF5BMl5BanBnXkFtZTcwMDI3MTg5MQ@@._V1_SX300.jpg,,,,,
21,2008,PG-13,28 Mar 2008,123 min,"Crime, Drama, History",Robert Luketic,"Peter Steinfeld, Allan Loeb, Ben Mezrich","Jim Sturgess, Kate Bosworth, Kevin Spacey","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",English,United States,https://m.media-amazon.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX300.jpg,,,,,
What Happens in Vegas... - Papaganda,2013–2014,N/A,11 Sep 2013,N/A,Biography,N/A,N/A,"Tobias Forge, Ghost, Anthony Verlander",N/A,English,United States,N/A,N/A,,,,
