Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
Surviving Paradise,2000,Not Rated,30 Jun 2000,90 min,"Drama, Adventure",Kamshad Kooshan,Kamshad Kooshan,"Shohreh Aghdashloo, Kian Abedini, Lauren Parissa Abedini","Surviving Paradise follows the adventures of 10-year-old Sam and 8-year-old Sara, Iranian children lost in Los Angeles, as they struggle to search for an uncle and elude the hit man who kidnapped their mother. On their way, they enco",English,United States,https://m.media-amazon.com/images/M/MV5BOTA4NTI3ODgxNV5BMl5BanBnXkFtZTgwMjQzOTk1MDE@._V1_SX300.jpg,,,,,
30 Days,2005–2008,TV-MA,15 Jun 2005,60 min,"Documentary, Reality-TV",N/A,Morgan Spurlock,"Morgan Spurlock, Alexandra Jamieson, Vito Summa","An unscripted, documentary-style program where an individual is inserted into a lifestyle that is completely different from his or her upbringing, beliefs, religion or profession for 30 days.",English,United States,https://m.media-amazon.com/images/M/MV5BMTUzNjg3MzI4NF5BMl5BanBnXkFtZTcwMjY0MzA3MQ@@._V1_SX300.jpg,,3,,,
The Autumn Heart,1999,PG-13,11 Aug 2000,110 min,Drama,Steven Maler,Davidlee Willson,"Tyne Daly, Marla Sucharetza, Marceline Hugot","When a school bus driving woman (Tyne Daly) has a heart attack, she makes one request of her three daughters (Ally Sheedy, Marla Sucharetza, Marceline Hugo) - she wants them to find their long lost brother, who was taken away by t...",English,United States,https://m.media-amazon.com/images/M/MV5BMTczNjA5NDk0N15BMl5BanBnXkFtZTcwNTkwNDIyMQ@@._V1_SX300.jpg,,,,,
The Specials,2019,N/A,23 Oct 2019,114 min,"Comedy, Drama","Olivier Nakache, Éric Toledano","Olivier Nakache, Éric Toledano","Vincent Cassel, Reda Kateb, Hélène Vincent","The story of two men, educators of children and adolescents with autism.",French,"France, Belgium",https://m.media-amazon.com/images/M/MV5BMDUzODgxOTktODllNi00ZDA5LWI3YjktYTk0MWIwOGZlYmIwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,,,,
Head On,1998,Not Rated,13 Aug 1998,104 min,"Drama, Romance",Ana Kokkinos,"Andrew Bovell, Ana Kokkinos, Mira Robertson","Alex Dimitriades, Elle Mandalis, Damien Fotiou",A 19 year old Greek Australian youth struggles with his sexual identity and has one clumsy heterosexual and several homosexual encounters.,"English, Greek",Australia,https://m.media-amazon.com/images/M/MV5BYThiMTM3YWQtN2FjZC00NTNkLWFkY2QtYTVlMzE1ODYxMzVjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Looking for an Echo,2000,R,10 Nov 2000,97 min,"Drama, Music",Martin Davidson,"Jeffrey Goldenberg, Robert Held, Martin Davidson","Armand Assante, Diane Venora, Joe Grifasi",The lead singer of an oldies group reminisces about the good ol' days and a potential comeback.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQwNzYyMDI2M15BMl5BanBnXkFtZTcwNTE1NTgxMQ@@._V1_SX300.jpg,,,,,
Family Tree,2013,TV-MA,12 May 2013,30 min,Comedy,N/A,"Christopher Guest, Jim Piddock","Chris O'Dowd, Tom Bennett, Nina Conti","From Christopher Guest ('Best in Show, ' 'A Mighty Wind') comes this comedy series that follows one man's quest to track down his genealogy.",English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BOTE0YjRiOWYtMDg4OC00ZTQ0LTgxYzEtYmNmNGRhMmY0ZWQ2XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,,1,,,
Nowhere to Hide,1999,R,31 Jul 1999,112 min,"Action, Crime, Drama",Lee Myung-se,Lee Myung-se,"Joong-Hoon Park, Sung-Ki Ahn, Jang Dong-Gun","Detective Woo is on the trail of the mysterious gangster Sungmin, a master of disguise who always manages to elude his pursuers. Eventually, the cop tracks down and confronts the master-criminal in the suburbs of a coal-mining town.",Korean,South Korea,https://m.media-amazon.com/images/M/MV5BM2EyNjMwYzYtODkyZC00YzNlLTkxM2UtN2Q1ODc3Y2JjYjhjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,,,,
Soft Fruit,1999,R,28 Oct 1999,101 min,"Comedy, Drama",Christina Andreef,Christina Andreef,"Jeanie Drynan, Linal Haft, Russell Dykstra","Three sisters and their ex-con brother return home to nurse their mother, who is dying of cancer.",English,"Australia, United States",https://m.media-amazon.com/images/M/MV5BMDU1ZjQxODEtMTU3NS00Y2M2LWJiNjQtNmQ3ZDdlNjQ4NTkxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
The Wolves of Kromer,1998,Not Rated,08 Mar 2001,82 min,"Fantasy, Horror, Comedy",Will Gould,"Charles Lambert, Matthew Read","Boy George, James Layton, Lee Williams",Once upon a time in the village of Kromer lived two beautiful young wolves. Cocksure Gabriel takes newcomer Seth under his paw and helps reconcile him to the vilification associated with being a wolf. They fall head-over-heels in ...,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BNWE3Yjk1NjAtZTYzMy00ZjY0LTg0YjYtN2U0OTgzNjg1ZGE2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,,,,
Le monde de Marty,2000,Not Rated,26 Jan 2000,89 min,Drama,Denis Bardiau,"Denis Bardiau, Alexandre Jaffray","Michel Serrault, Jonathan Demurger, Annick Alane",Go behind the scenes as cameras study a rare creature - Marty Stouffer - a man dedicated to wildlife. Marty Stouffer is seen working and playing with his friends and family. Never-seen home video highlights this very personal biog...,French,France,https://m.media-amazon.com/images/M/MV5BNmVkOTI2M2ItOWUzYS00OTU5LWFiNmQtMzAwNmQ5YTJjZDQ1XkEyXkFqcGdeQXVyMjE4NzY3Mw@@._V1_SX300.jpg,,,,,
It All Starts Today,1999,Not Rated,12 Mar 1999,117 min,Drama,Bertrand Tavernier,"Dominique Sampiero, Bertrand Tavernier, Tiffany Tavernier","Philippe Torreton, Maria Pitarresi, Nadia Kaci","A teacher from a small, depressed town is trying to do something useful.",French,France,https://m.media-amazon.com/images/M/MV5BNmZhZWFhYTYtNDQ3ZC00ZDIwLTk2ZDMtNTk5NjU1NjBkOGRkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,,,,,
Trash,2014,R,09 Oct 2015,114 min,"Adventure, Crime, Drama","Stephen Daldry, Christian Duurvoort","Andy Mulligan, Felipe Braga, Richard Curtis","Rickson Tevez, Gabriel Weinstein, Martin Sheen","Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.","Portuguese, English","United Kingdom, Brazil, Germany",https://m.media-amazon.com/images/M/MV5BMTEyNDY2Njc1NzheQTJeQWpwZ15BbWU4MDc1NzY2NjYx._V1_SX300.jpg,,,,,
Don't Let Me Die on a Sunday,1998,Not Rated,06 Jan 1999,86 min,Drama,Didier Le Pêcheur,Didier Le Pêcheur,"Élodie Bouchez, Jean-Marc Barr, Martin Petit-Guyot","Ben works in a morgue. Ben's wife left him and he is into various kinds of alternative sexuality. Teresa dies of an ecstasy overdose on the dance floor. When she is brought to the morgue, she is resurrected -how shall I say?- in B...",French,France,https://m.media-amazon.com/images/M/MV5BMjEwMjg4Njc4MF5BMl5BanBnXkFtZTcwMjQ0ODUxMQ@@._V1_SX300.jpg,,,,,
Restless,2011,PG-13,06 Apr 2011,91 min,"Drama, Romance",Gus Van Sant,Jason Lew,"Mia Wasikowska, Henry Hopper, Ryô Kase",The story of a terminally ill teenage girl who falls for a boy who likes to attend funerals and their encounters with the ghost of a Japanese kamikaze pilot from WWII.,English,United States,https://m.media-amazon.com/images/M/MV5BYjQyNDA4MWUtODVjYi00NWFjLWExYjQtMmNiNzZiNDI1NTkyXkEyXkFqcGdeQXVyODU4MzMxNDg@._V1_SX300.jpg,,,,,
Buddy Boy,1999,R,24 Mar 2000,105 min,"Drama, Thriller",Mark Hanlon,Mark Hanlon,"Aidan Gillen, Emmanuelle Seigner, Susan Tyrrell",An introvert relieves the tedium of caring for his invalid mother by spying on his neighbor.,English,United States,https://m.media-amazon.com/images/M/MV5BOTA1MzcwZDMtMmYzNC00NzQ1LWJhMDMtYzViYjU0YjA0NDM5XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,,,,,
All About Eve,1950,Passed,27 Oct 1950,138 min,Drama,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"English, French",United States,https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg,,,,,
Spent,2017,N/A,15 Dec 2017,100 min,"Comedy, Drama",Lisa Mikitarian,"Stephen French Jr., Lisa Mikitarian","Connie Lamothe, Darren Barzegar, Nick Nerangis",Poor Herbert...if only the brain tumor had killed him... A charming dark comedy with a vintage vibe. A wife and son live it up while their miser-rat of a husband/father lies in a hospital bed--death by brain tumor imminent. It's a...,English,United States,https://m.media-amazon.com/images/M/MV5BODRjZWU1YjItOWVlYi00NDk4LWIzN2EtODhmYTk5OTFiOGExXkEyXkFqcGdeQXVyNjA1NzEwNTc@._V1_SX300.jpg,,,,,
The Sculptress,1996–,N/A,13 Nov 1997,180 min,"Crime, Drama, Mystery",N/A,N/A,"Pauline Quirke, Caroline Goodall, Christopher Fulford","Olive Martin (Quirke), a heavily overweight young woman is convicted of killing and butchering her mother and sister and sentenced to life imprisonment. However, when she is assigned to write a book about her life, author Rosalind...",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMjE3MjI3MDM2N15BMl5BanBnXkFtZTcwOTcxNzIzMQ@@._V1_SX300.jpg,,1,,,
Wirey Spindell,1999,Not Rated,21 Jan 2000,101 min,Comedy,Eric Schaeffer,Eric Schaeffer,"Eric Schaeffer, Eric Mabius, Devin Matthews",A whimsical look back at the life of a man who is nervous about his upcoming wedding.,English,United States,https://m.media-amazon.com/images/M/MV5BMjA0MzA1NzA0NV5BMl5BanBnXkFtZTcwMjU2MTgxMQ@@._V1_SX300.jpg,,,,,
Rebels with a Cause,2000,N/A,10 Nov 2000,110 min,Documentary,Helen Garvy,Helen Garvy,"Jane Adams, Bill Ayers, Carolyn Craven",N/A,English,United States,https://m.media-amazon.com/images/M/MV5BNjMyNDk2MDUyNl5BMl5BanBnXkFtZTcwMDgxMjYyMQ@@._V1_SX300.jpg,,,,,
Trans,1998,N/A,07 Jan 2000,80 min,"Crime, Drama",Julian Goldberger,"Julian Goldberger, Michael A. Robinson, Martin Garner","Lynn Boyd, Jon Daugherty, Ryan Daugherty","Ryan Kazinski, 16, is in juvenile detention in Fort Myers, Florida. He gets away one day, and the world is all before him: where should he go, what should he do? Should he try to find his mom? Should he head for Colorado, where he...",English,United States,https://m.media-amazon.com/images/M/MV5BMTM5NDc1MTU5OV5BMl5BanBnXkFtZTcwNTYyNTYxMQ@@._V1_SX300.jpg,,,,,
Anatomy,2000,R,03 Feb 2000,103 min,"Horror, Thriller",Stefan Ruzowitzky,"Peter Engelmann, Stefan Ruzowitzky","Franka Potente, Benno Fürmann, Anna Loos",A cute med student starts a summer course at Heidelberg University. David's on her dissection table. She met him the day before on the train. Something's wrong.,"German, Latin",Germany,https://m.media-amazon.com/images/M/MV5BOWYyMjViZjItMDZkNS00OTJkLTlkZjktOGUwMzIyM2M5YjlhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,,,,
Claire Dolan,1998,Not Rated,18 Nov 1998,95 min,Drama,Lodge Kerrigan,Lodge Kerrigan,"Katrin Cartlidge, Vincent D'Onofrio, Colm Meaney","A high-priced call girl, shocked by her mother's death, decides to get out of the business and have a baby. The steps that she takes to free herself from her pimp and find a father for the baby are the central story of this movie.","French, English",N/A,https://m.media-amazon.com/images/M/MV5BMTI1OTA2NjY3OF5BMl5BanBnXkFtZTcwMzc3MjIzMQ@@._V1_SX300.jpg,,,,,
Tuvalu,1999,Not Rated,22 Jun 2000,101 min,"Comedy, Drama, Romance",Veit Helmer,"Michaela Beck, Veit Helmer, Lyudmila Merdzhanska","Denis Lavant, Chulpan Khamatova, Philippe Clay","In a desolate and colorless landscape stands a dilapidated bathhouse run by a puffed-up blind man, his long-suffering wife, and their son Anton, who does all the work. He's lonely and unsophisticated, and he falls in love with the...",Esperanto,N/A,https://m.media-amazon.com/images/M/MV5BMjEwMTY5NzMzMF5BMl5BanBnXkFtZTcwMzg5NjUxMQ@@._V1_SX300.jpg,,,,,
The Well,1951,Approved,24 Sep 1951,86 min,"Drama, Thriller","Leo C. Popkin, Russell Rouse","Russell Rouse, Clarence Greene","Gwendolyn Laster, Richard Rober, Maidie Norman","A small, racially-mixed American town succumbs to violence and utter mayhem after a white man suspected of kidnapping a missing black girl is released by the white authority.",English,United States,https://m.media-amazon.com/images/M/MV5BMTYzOTU3OTA0Nl5BMl5BanBnXkFtZTYwMjI3OTU5._V1_SX300.jpg,,,,,
Harem Suare,1999,R,21 May 1999,125 min,"Drama, History",Ferzan Özpetek,"Ferzan Özpetek, Gianni Romoli","Marie Gillain, Alex Descas, Lucia Bosè","In Baghdad in the early 1900's, a young woman rises up through the ranks of power within the Ottoman Empire. She and a eunuch plan an elaborate scheme for the release of the female slaves.","Turkish, French, Italian","Italy, France, Turkey",https://m.media-amazon.com/images/M/MV5BNzgyZjMyZWUtYzA1YS00NTkzLWFkOTYtYzQ1ZDk1ODFiNTJjXkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_SX300.jpg,,,,,
Dil Pe Mat Le Yaar!!,2000,N/A,29 Sep 2000,148 min,"Crime, Drama",Hansal Mehta,Saurabh Shukla,"Manoj Bajpayee, Tabu, Saurabh Shukla","Born in Jaunpur, Uttar Pradesh, Ram Saran Pandey, relocates to Bombay, Maharashtra, to improve his lifestyle, leaving behind his mom and dad, Sudama, with a promise to call them to Bombay when he is well settled. Ram gets employed...",Hindi,India,https://m.media-amazon.com/images/M/MV5BZmY1Y2YzZGEtNzRjZi00ZGI0LTkzZGYtNmI5ZTNkY2Q3ZjhiXkEyXkFqcGdeQXVyOTA0NDk0NzM@._V1_SX300.jpg,,,,,
Circus,2000,R,05 May 2000,95 min,"Crime, Drama, Thriller",Rob Walker,David Logan,"John Hannah, Famke Janssen, Peter Stormare","Conman Leo Garfield is in hot water after accepting a contract to murder businessman Julius Harvey's alleged wife, Gloria. Leo's wife Lily brings trouble too when her old flame Elmo pops up again, years after she abandoned him mid...","English, Spanish","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNDQ1MDU3NzU4MF5BMl5BanBnXkFtZTcwODk0MTYyMQ@@._V1_SX300.jpg,,,,,
Ouch,2016,N/A,23 Oct 2016,14 min,"Short, Comedy, Drama",Neeraj Pandey,Neeraj Pandey,"Manoj Bajpayee, Pooja Chopra, Devender",A married man and a married woman meet in a hotel room.,"Hindi, English",India,https://m.media-amazon.com/images/M/MV5BNjdhYmRjZDItNDNjOC00MWYyLTlkMjktMjFlNTM0MTEwYmY0XkEyXkFqcGdeQXVyNTYzMTc0ODI@._V1_SX300.jpg,,,,,
Jerome,1998,R,01 Sep 1998,91 min,Drama,"David Elton, Thomas Johnston, Eric Tignini","David Elton, Thomas Johnston, Eric Tignini","Drew Pillsbury, Wendie Malick, Scott McKenna","Jerome is a day in the life of a dreamer. Wade Hampton has found himself trapped by responsibility and lack of understanding by those closest to him. As a result, Wade simply leaves his old life with the idea of fulfilling a repre...",English,United States,https://m.media-amazon.com/images/M/MV5BMTQ3MDI0MDgwN15BMl5BanBnXkFtZTcwNTA1OTQ0MQ@@._V1_SX300.jpg,,,,,
Passionnement Flic,2015,N/A,N/A,N/A,Short,Andy Anison,N/A,"Andy Anison, Marine Beauregard, Isabelle Bruce, Tristan Bruce","a police woman Commissioner falls in love with man that she shouldn't, until she realizes that she gave everything to her job, neglecting the essential, her daughter. She finds herself alone with the wreck of her life...",N/A,N/A,N/A,,,,,
Mookie,1998,N/A,09 Dec 1998,87 min,Comedy,Hervé Palud,"Simon Michaël, Jean-Marie Pallardy, Hervé Palud","Eric Cantona, Jacques Villeret, Emiliano Suarez","Far away from their native France, two men are in trouble in a Mexican town. One is gentle missionary monk Brother Benoît; the other is tough, stubborn boxer Antoine Capella. Brother Benoît has saved a chimp he calls Mookie and ma...",French,France,https://m.media-amazon.com/images/M/MV5BMTE5ODYzODMyM15BMl5BanBnXkFtZTYwNDY5MjA5._V1_SX300.jpg,,,,,
The Idiots,1998,R,21 May 1998,117 min,"Comedy, Drama",Lars von Trier,Lars von Trier,"Bodil Jørgensen, Jens Albinus, Anne Louise Hassing","The group of people gather at the house in Copenhagen suburb to break all the limitations and to bring out the ""inner idiot"" in themselves.",Danish,"Denmark, France, Netherlands, Germany, Sweden, Italy",https://m.media-amazon.com/images/M/MV5BN2FiYjg5YjctYTUwMi00MmU0LTk2NWQtODkyMjhhYmE1ZjNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
The Claim,2000,R,27 Jul 2001,120 min,"Drama, Romance, Western",Michael Winterbottom,"Frank Cottrell Boyce, Thomas Hardy","Wes Bentley, Peter Mullan, Ron Anderson","A prospector who sold his wife and infant daughter in exchange for a mining claim, tries desperately to win them back as he helps to build the Pacific Railroad with a group of pioneer friends.",English,"United Kingdom, France, Canada, United States",https://m.media-amazon.com/images/M/MV5BYmVjMzVhNWQtZDkyYS00N2YzLTk3M2QtMTY2ZDgxZDRjOTAxXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,,,,,
Yana's Friends,1999,Not Rated,04 Nov 1999,90 min,"Comedy, Drama, Romance",Arik Kaplun,"Arik Kaplun, Semyon Vinokur","Evelyn Kaplun, Nir Levy, Shmil Ben Ari",Three parallel strories of immigrants in Tel Aviv during the Gulf War and about coming together while sealed in a room during the Scud attacks.,"Hebrew, Russian, English",Israel,https://m.media-amazon.com/images/M/MV5BMTU0OTkyNTAxNV5BMl5BanBnXkFtZTcwMjYxMTkxMQ@@._V1_SX300.jpg,,,,,
Black Tar Heroin: The Dark End of the Street,2000,Not Rated,17 Mar 2000,75 min,"Documentary, Biography",Steven Okazaki,N/A,"Tracey Helton, Alice McMunn, Jessica Snow",This documentary follows the lives of a number of heroin addicts in the U.S.A. It shows their heroin life stories.,English,United States,https://m.media-amazon.com/images/M/MV5BY2RkZDA3OTgtYzMxNy00YTYwLTkwMmEtMGE2MzcxZGQ1ZmQ2XkEyXkFqcGdeQXVyMjkxODI3MTY@._V1_SX300.jpg,,,,,
Pink Narcissus,1971,Not Rated,16 Oct 1974,65 min,"Drama, Fantasy",James Bidgood,James Bidgood,"Don Brooks, Bobby Kendall, Charles Ludlam",An erotic poem set in the fantasies of a young male prostitute.,None,United States,https://m.media-amazon.com/images/M/MV5BMTM4NzE5ODIxMF5BMl5BanBnXkFtZTcwMjk5ODAyMQ@@._V1_SX300.jpg,,,,,
Eve,2003–2006,TV-PG,15 Sep 2003,30 min,Comedy,N/A,Meg DeLoatch,"Eve, Jason George, Ali Landry Monteverde",Following Eve and her group of friends as they experience the highs and lows of life.,English,United States,https://m.media-amazon.com/images/M/MV5BOTA1Y2VhNjItMDUxZi00NTk3LTliYjAtODhiMzZmZDRmYzAzXkEyXkFqcGdeQXVyMTI2Mjk5MjQy._V1_SX300.jpg,,3,,,
On the Ropes,1999,N/A,22 Jan 1999,94 min,"Documentary, Drama, Sport","Nanette Burstein, Brett Morgen",N/A,"Sam Doumit, Martin Goldman, Harry Keitt",The story of three young boxers and their coach who is determined to guide them in a positive direction in and out of the ring.,English,United States,https://m.media-amazon.com/images/M/MV5BMjEzMTE4MTk0Nl5BMl5BanBnXkFtZTcwOTc5MTYyMQ@@._V1_SX300.jpg,,,,,
Aujourd'hui peut-être...,1991,N/A,20 Mar 1991,90 min,Drama,Jean-Louis Bertuccelli,"Isabelle Mergault, Jean-Louis Bertuccelli","Giulietta Masina, Véronique Silver, Éva Darlan",Italian widow Bertille decides to sell her real estate in Loiret in the French countryside and organizes a family lunch party. She wishes to split the money among her sons and daughters to avoid any future inheritance squabbles. S...,French,France,https://m.media-amazon.com/images/M/MV5BNzM4ZDhhOTEtYjk0Mi00YjkwLWIxNDktODYzNDc5M2JmMDI2XkEyXkFqcGdeQXVyMjE4NzY3Mw@@._V1_SX300.jpg,,,,,
The Tavern,1999,Not Rated,01 Oct 1999,95 min,Drama,Walter Foote,Walter Foote,"Cameron Dye, Greg Zittel, Margaret Cho","Bartender Ronnie has gone from one job to another a lot over the years, and he wants to settle at a place that he can call his own. So Ronnie teams up with his friend Dave, and together they raise the money to buy a popular bar",English,United States,https://m.media-amazon.com/images/M/MV5BMTkxNjIzMjk3MV5BMl5BanBnXkFtZTcwMzU3NjkxMQ@@._V1_SX300.jpg,,,,,
